audio_name,artist,category,mood,duration,trend_score,usage_count,popularity_level
"Golden Hour Edit","JVKE","travel","aesthetic",30,91,1200000,"High"
"Pump It Up","Endor","fitness","energetic",20,88,980000,"High"
"Funny Pop Beat","Unknown","comedy","funny",15,84,750000,"Medium"
"Lofi Chill Study","Lofi Girl","tech","calm",60,78,500000,"Medium"
"Epic Orchestral","Hans Zimmer Style","lifestyle","motivational",45,95,2100000,"High"
"Espresso Remix","Sabrina Carpenter","fashion","aesthetic",15,98,3400000,"High"
"Tech Review Loop","Innova","tech","professional",10,72,200000,"Low"
"Gym Hype Beat","Aggro","fitness","energetic",30,85,890000,"High"
"Sunset Vibes","Summer Soul","travel","calm",25,89,1500000,"High"
"Foodie Crunch ASMR","KitchenSounds","food","aesthetic",10,82,600000,"Medium"
